UserData_userID,ValueName,StartTime,EndTime,TotalTime,StartFrame,EndFrame
TestUser,TimeBetweenMovement,2.585956,2.672949,0.08699369,329,339
TestUser,TimeBetweenMovement,2.680932,2.723826,0.0428946,340,346
TestUser,TimeBetweenMovement,2.741788,2.761449,0.01966047,349,352
TestUser,TimeBetweenMovement,2.768376,2.841361,0.07298565,353,361
TestUser,TimeBetweenMovement,2.848926,2.854756,0.00583005,362,363
TestUser,TimeBetweenMovement,2.873051,2.937791,0.06473947,366,375
TestUser,TimeBetweenMovement,2.944921,3.041681,0.09675956,376,386
TestUser,TimeBetweenMovement,3.048533,3.081524,0.03299093,387,392
TestUser,TimeBetweenMovement,3.089912,3.200817,0.1109056,393,406
TestUser,TimeBetweenMovement,3.208862,3.223439,0.01457715,407,409
